strain_ID	strain_type	active_substance	test_start	test_read	nb_day	dose	perc_croiss
104	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
104	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	76.9
104	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	76.9
104	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	76.9
104	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	56.4
104	study	boscalid	28-Jun-18	9-Aug-18	42	1	0.0
104	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
104	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
104	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	96.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	92.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	84.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	104.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	1	20.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
174	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	76.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	80.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	76.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	52.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	1	6.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
413	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
498	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
498	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	72.3
498	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	80.9
498	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	85.1
498	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	63.8
498	study	boscalid	28-Jun-18	9-Aug-18	42	1	53.2
498	study	boscalid	28-Jun-18	9-Aug-18	42	3	4.3
498	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
498	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
736	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
736	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	86.4
736	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	100.0
736	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	102.3
736	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	95.5
736	study	boscalid	28-Jun-18	9-Aug-18	42	1	2.3
736	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
736	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
736	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
769	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
769	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	104.8
769	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	116.7
769	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	123.8
769	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	121.4
769	study	boscalid	28-Jun-18	9-Aug-18	42	1	100.0
769	study	boscalid	28-Jun-18	9-Aug-18	42	3	4.8
769	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
769	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
1286	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
1286	study	boscalid	28-Jun-18	9-Aug-18	42	0.01	100.0
1286	study	boscalid	28-Jun-18	9-Aug-18	42	0.03	102.3
1286	study	boscalid	28-Jun-18	9-Aug-18	42	0.1	104.5
1286	study	boscalid	28-Jun-18	9-Aug-18	42	0.3	104.5
1286	study	boscalid	28-Jun-18	9-Aug-18	42	1	54.5
1286	study	boscalid	28-Jun-18	9-Aug-18	42	3	0.0
1286	study	boscalid	28-Jun-18	9-Aug-18	42	10	0.0
1286	study	boscalid	28-Jun-18	9-Aug-18	42	30	0.0
1634	study	boscalid	28-Jun-18	9-Aug-18	42	0	100.0
